Dates,GCNY3M Index,GCNY10YR Index,SHIF3M Index,FXI US EQUITY,VXFXI INDEX
2019-07-01,2.188,3.229,2.681,43.4,18.68
2019-07-02,2.188,3.171,2.657,43.29,17.88
2019-07-03,,3.161,2.641,43.13,17.47
2019-07-04,,3.16,2.627,,
2019-07-05,,3.178,2.606,42.63,17.78
2019-07-08,2.093,3.186,2.603,42.31,18.56
2019-07-09,2.154,3.169,2.601,42.06,18.93
2019-07-10,,3.177,2.6,42.18,17.77
2019-07-11,,3.173,2.6,41.97,17.49
2019-07-12,,3.157,2.6,42.13,16.93
2019-07-15,2.084,3.186,2.6,42.25,16.89
2019-07-16,2.085,3.178,2.609,42.18,16.6
2019-07-17,,3.178,2.613,42.13,16.91
2019-07-18,,3.163,2.623,42.24,17.61
2019-07-19,,3.161,2.631,42.47,18.04
2019-07-22,2.195,3.151,2.628,42.08,18.97
2019-07-23,2.193,3.156,2.628,42.32,18.74
2019-07-24,,3.17,2.625,42.46,18.3
2019-07-25,,3.168,2.625,42.17,19.11
2019-07-26,,3.173,2.629,42.23,19.54
2019-07-29,,3.183,2.631,41.92,19.49
2019-07-30,2.274,3.181,2.636,41.66,19.76
2019-07-31,,3.16,2.644,41.1,18.75
2019-08-01,,3.151,2.646,40.17,22.32
2019-08-02,,3.103,2.649,39.86,21.59
2019-08-05,2.343,3.068,2.646,38.3,28.51
2019-08-06,2.345,3.074,2.635,38.66,25.78
2019-08-07,,3.05,2.623,38.85,24.69
2019-08-08,,3.05,2.618,39.18,22.29
2019-08-09,2.369,3.027,2.618,38.74,23.17
2019-08-12,,3.027,2.625,38.26,24.65
2019-08-13,,3.011,2.644,38.87,22.97
2019-08-14,,3.015,2.656,37.67,26.9
2019-08-15,,3.014,2.661,38.19,25.19
2019-08-16,2.398,3.024,2.666,38.6,23.7
2019-08-19,,3.021,2.669,39.15,21.95
2019-08-20,2.396,3.032,2.671,39.01,21.28
2019-08-21,,3.058,2.674,39.35,19.98
2019-08-22,,3.058,2.682,39.05,20.68
2019-08-23,,3.072,2.69,38.34,25.63
2019-08-26,,3.053,2.694,38.89,23.58
2019-08-27,,3.054,2.7,38.9,23.79
2019-08-28,,3.056,2.702,38.85,23
2019-08-29,,3.035,2.7002,39.13,22.05
2019-08-30,2.494,3.061,2.701,39.12,22.22
2019-09-02,2.495,3.081,2.7,,
2019-09-03,2.47,3.069,2.701,39.13,22.05
2019-09-04,,3.047,2.702,40.05,20.41
2019-09-05,,3.018,2.704,40.53,19.79
2019-09-06,,3.01,2.708,40.61,19.59
2019-09-09,,3.027,2.707,40.69,18.73
2019-09-10,,3.045,2.707,40.71,18.7
2019-09-11,,3.057,2.707,41.33,18.09
2019-09-12,,3.089,2.709,41.48,17.79
2019-09-13,,,,41.9,17.78
2019-09-16,,3.092,2.71,41.46,19.76
2019-09-17,,3.105,2.708,41.26,19.43
2019-09-18,,3.127,2.706,40.98,18.91
2019-09-19,,3.105,2.709,40.69,18.5
2019-09-20,2.331,3.099,2.717,40.54,18.44
2019-09-23,,3.104,2.725,40.53,18.42
2019-09-24,,3.12,2.729,40.04,19.96
2019-09-25,,3.119,2.729,40.18,20.08
2019-09-26,,3.135,2.732,39.91,20.08
2019-09-27,,3.146,2.726,39.45,21.98
2019-09-30,,3.141,2.728,39.8,21.28
2019-10-01,,,,39.63,22.04
2019-10-02,,,,39.67,22.54
2019-10-03,,,,40.31,20.64
2019-10-04,,,,40.24,21.08
2019-10-07,,,,39.96,21.29
2019-10-08,,3.11,2.724,39.69,22.59
2019-10-09,,3.122,2.72,40.25,22.08
2019-10-10,,3.13,2.718,40.75,21.25
2019-10-11,,3.156,2.718,41.33,20.59
2019-10-14,,3.164,2.722,41.15,19.42
2019-10-15,,3.166,2.731,41.54,17.87
2019-10-16,,3.166,2.732,41.52,17.87
2019-10-17,,3.164,2.736,41.69,18.1
2019-10-18,,3.186,2.746,41.24,17.65
2019-10-21,,3.217,2.763,41.72,17.76
2019-10-22,,3.222,2.793,41.38,18.44
2019-10-23,,3.21,2.808,41.26,18.39
2019-10-24,,3.218,2.824,41.23,18.51
2019-10-25,,3.24,2.831,41.49,18.2
2019-10-28,,3.295,2.84,41.88,18.87
2019-10-29,2.501,3.311,2.847,41.46,19.19
2019-10-30,,3.318,2.864,41.33,19.05
2019-10-31,,3.282,2.887,41.15,19.04
2019-11-01,,3.272,2.897,42,19.5
2019-11-04,,3.297,2.919,42.51,20.36
2019-11-05,,3.249,2.933,42.77,20.18
2019-11-06,,3.257,2.948,42.69,19.57
2019-11-07,,3.273,2.953,43.05,19.04
2019-11-08,,3.269,2.953,42.74,19.31
2019-11-11,,3.217,2.955,42.08,20.65
2019-11-12,,3.253,2.965,41.71,21.4
2019-11-13,,3.231,2.981,41.15,22.16
2019-11-14,,3.251,3,41.04,21.55
2019-11-15,,3.242,3.02,41.13,20.28
2019-11-18,,3.188,3.032,41.26,19.97
2019-11-19,,3.176,3.033,41.68,20.18
2019-11-20,,3.176,3.032,41.45,19.76
2019-11-21,,3.171,3.034,41.39,19.92
2019-11-22,,3.172,3.037,41.32,19.37
2019-11-25,,3.197,3.029,42.01,19.33
2019-11-26,,3.184,3.02,42.11,19.46
2019-11-27,,3.185,3.019,42.07,19.36
2019-11-28,,3.181,3.016,,
2019-11-29,2.436,3.175,3.017,40.94,19.89
2019-12-02,2.432,3.212,3.017,40.95,19.69
2019-12-03,2.437,3.199,3.015,40.71,20.63
2019-12-04,,3.197,3.019,40.88,20.47
2019-12-05,,3.19,3.022,40.9,19.28
2019-12-06,,3.205,3.0245,41.24,19.3
2019-12-09,2.46,3.202,3.025,41.05,19.67
2019-12-10,2.438,3.201,3.028,41.21,19.48
2019-12-11,,3.19,3.03,41.98,19.75
2019-12-12,,3.19,3.0305,42.78,21.19
2019-12-13,,3.2,3.0325,42.6,18.68
2019-12-16,,3.2,3.0324,42.34,17.23
2019-12-17,2.41,3.225,3.036,42.88,17.44
2019-12-18,,3.239,3.04,43,17.31
2019-12-19,,3.233,3.043,42.91,16.79
2019-12-20,,3.201,3.041,43.08,16.64
2019-12-23,,3.167,3.04,43.04,16.33
2019-12-24,,3.166,3.0335,43.12,16.2
2019-12-25,,3.146,3.0325,,
2019-12-26,,3.118,3.0295,43.55,17.47
2019-12-27,,3.134,3.0255,43.71,18.3
2019-12-30,,3.145,3.021,43.49,18.59
2019-12-31,,3.144,3.02,43.63,19.54
2020-01-01,,,,,
2020-01-02,,,2.994,44.88,18.28
2020-01-03,,3.146,2.96,43.91,19.57
2020-01-06,,3.134,2.92,44.12,19.55
2020-01-07,,3.142,2.899,44.01,18.75
2020-01-08,,3.138,2.881,43.98,18.34
2020-01-09,,3.122,2.867,44.38,17.47
2020-01-10,,3.08,2.864,44.52,18.28
2020-01-13,,3.094,2.858,45.28,17.48
2020-01-14,,3.104,2.862,44.82,18.05
2020-01-15,,3.091,2.865,44.57,17.49
2020-01-16,,3.095,2.868,44.9,17.49
2020-01-17,,3.088,2.868,45.11,16.47
2020-01-20,,3.057,2.86,,
2020-01-21,,3.044,2.859,42.99,20.46
2020-01-22,,3.028,2.858,43.47,19.76
2020-01-23,,3.003,2.858,42.91,21.62
2020-01-24,,,,42.35,24.15
2020-01-27,,,,40.67,28.57
2020-01-28,,,,40.95,26.61
2020-01-29,,,,41.2,23.87
2020-01-30,,,,40.69,25.72
2020-01-31,,,,39.74,28.93
2020-02-03,,,2.852,40.13,26.38
2020-02-04,,2.866,2.824,41.21,25.09
2020-02-05,,2.869,2.799,41.35,24.25
2020-02-06,,2.837,2.776,41.63,24.44
2020-02-07,,2.806,2.753,41.26,24.49
2020-02-10,,2.792,2.723,41.5,22.55
2020-02-11,,2.833,2.679,42.3,21.7
2020-02-12,,2.836,2.639,42.87,20.54
2020-02-13,,2.827,2.605,42.31,22.1
2020-02-14,,2.866,2.565,42.27,21.39
2020-02-17,,2.893,2.545,,
2020-02-18,1.75,2.881,2.525,42.18,21.29
2020-02-19,,2.885,2.51,42.47,20.11
2020-02-20,,2.884,2.5,42.02,20.92
2020-02-21,1.79,2.859,2.489,42.02,22.75
2020-02-24,,2.814,2.476,40.53,26.48
2020-02-25,,2.82,2.459,40.14,27.48
2020-02-26,,2.8,2.442,40.72,27.36
2020-02-27,,2.783,2.433,40.41,32.57
2020-02-28,1.791,2.733,2.429,40.66,40.26
2020-03-02,,2.745,2.408,41.08,30.19
2020-03-03,,2.763,2.375,40.82,30.86
2020-03-04,,2.686,2.332,41.26,25.87
2020-03-05,,2.685,2.29,41.08,30.01
2020-03-06,,2.626,2.258,40.26,32.46
2020-03-09,,2.533,2.238,38.64,42.05
2020-03-10,,2.615,2.225,40.17,34.42
2020-03-11,,2.64,2.224,38.8,40
2020-03-12,,2.629,2.223,35.8,56.7
2020-03-13,,2.686,2.202,37.8,50.54
2020-03-16,,2.674,2.175,33.91,63.6
2020-03-17,,2.72,2.145,36.01,59.09
2020-03-18,,2.721,2.12,33.97,69.28
2020-03-19,,2.736,2.104,34,65.76
2020-03-20,,2.686,2.087,34.46,60.15
2020-03-23,,2.627,2.072,34.44,56.85
2020-03-24,,2.634,2.056,36.77,48.49
2020-03-25,,2.628,2.01,37.33,46.84
2020-03-26,,2.592,1.977,38.35,39.91
2020-03-27,,2.602,1.966,36.1,49.14
2020-03-30,,2.619,1.948,37.4,42.82
2020-03-31,,2.586,1.933,37.54,40.94
2020-04-01,,2.554,1.918,36.01,48.15
2020-04-02,,2.6,1.889,37.39,41.91
2020-04-03,1.259,2.555,1.844,36.89,39.61
2020-04-06,,,,38.21,35.96
2020-04-07,,2.507,1.73,38.09,36.46
2020-04-08,,2.477,1.647,38.12,35.04
2020-04-09,,2.525,1.558,37.87,34.66
2020-04-10,,2.542,1.507,,
2020-04-13,,2.558,1.485,37.9,33.77
2020-04-14,,2.551,1.46,38.5,31.47
2020-04-15,,2.532,1.447,37.61,32.57
2020-04-16,,2.511,1.428,37.76,32.63
2020-04-17,0.957,2.551,1.403,38.41,30.14
2020-04-20,,2.584,1.394,38.09,32.24
2020-04-21,,2.571,1.396,37.07,35.72
2020-04-22,,2.546,1.391,37.97,33.38
2020-04-23,,2.508,1.396,37.81,33.62
2020-04-24,,2.489,1.396,38.19,32.72
2020-04-27,,2.51,1.397,38.96,28.45
2020-04-28,,2.504,1.398,39,31.45
2020-04-29,,2.484,1.399,39.63,28.69
2020-04-30,,2.516,1.4,38.59,34.8
2020-05-01,,,,37.27,41.69
2020-05-04,,,,37.62,40.7
2020-05-05,,,,38,36.83
2020-05-06,,2.567,1.4,38.1,36.03
2020-05-07,,2.617,1.4,38.2,33.48
2020-05-08,,2.611,1.4,39.07,28.71
2020-05-11,,2.646,1.398,38.89,30.4
2020-05-12,,2.645,1.398,38.55,31.79
2020-05-13,,2.683,1.398,38.67,33.3
2020-05-14,,2.686,1.399,38.51,34.06
2020-05-15,,2.659,1.399,37.95,33.88
2020-05-18,,2.72,1.398,39.46,29.38
2020-05-19,,2.741,1.399,39.05,29.77
2020-05-20,,2.673,1.399,39.62,29.51
2020-05-21,,2.662,1.4,38.54,31.86
2020-05-22,,2.583,1.4,37.5,33.61
2020-05-25,,2.659,1.4,,
2020-05-26,,2.702,1.405,38.34,32.08
2020-05-27,,2.724,1.415,38.13,33.18
2020-05-28,,2.692,1.43,38.25,33.17
2020-05-29,,2.693,1.453,39.05,29.27
2020-06-01,,2.736,1.456,39.77,29.06
2020-06-02,,2.813,1.462,40.48,26.97
2020-06-03,,2.793,1.494,41.17,26.75
2020-06-04,,2.835,1.536,40.57,27
2020-06-05,,2.858,1.594,41.48,25.08
2020-06-08,,2.821,1.658,41.27,25.58
2020-06-09,,2.82,1.727,41.07,25.51
2020-06-10,,2.825,1.816,41.56,24.9
2020-06-11,,2.771,1.904,39.84,32.08
2020-06-12,,2.76,1.956,40.34,31.08
2020-06-15,,2.81,1.987,39.65,31.43
2020-06-16,,2.857,2.019,39.96,32.31
2020-06-17,,2.883,2.056,40.12,31.3
2020-06-18,,2.86,2.078,40.26,30.2
2020-06-19,,2.881,2.095,40.32,28.46
2020-06-22,,2.92,2.097,40.62,26.98
2020-06-23,,2.914,2.109,40.89,26.59
2020-06-24,,2.872,2.121,40.47,29.62
2020-06-25,,,,40.57,28.96
2020-06-26,,,,40.19,28.74
2020-06-29,,2.857,2.127,40.05,28.45
2020-06-30,,2.851,2.126,39.7,28.16
2020-07-01,,2.849,2.122,40.16,27.55
2020-07-02,,2.864,2.113,41.46,25.83
2020-07-03,,2.902,2.105,,
2020-07-06,,3.032,2.104,45.4,33.27
2020-07-07,,3.034,2.103,44.11,31.84
2020-07-08,,3.065,2.111,45.53,33.57
2020-07-09,,3.096,2.122,45.22,32.74
2020-07-10,,3.032,2.143,44.55,31.54
2020-07-13,,3.059,2.163,44.04,32.84
2020-07-14,,3.003,2.192,43.7,31.99
2020-07-15,,2.957,2.241,43.47,30.09
2020-07-16,,2.968,2.286,42.48,30.17
2020-07-17,,2.966,2.356,42.56,27.45
2020-07-20,,2.943,2.404,43.11,25.92
2020-07-21,,2.918,2.466,43.33,25.75
2020-07-22,,2.895,2.501,42.72,26.64
2020-07-23,,2.915,2.541,42.4,26.13
2020-07-24,,2.868,2.557,42.05,27.01
2020-07-27,,2.896,2.574,41.96,27.11
2020-07-28,,2.94,2.578,41.59,26.8
2020-07-29,,2.967,2.586,42.22,25.68
2020-07-30,,2.935,2.59,41.78,26.12
2020-07-31,,2.976,2.593,41.37,25.97
2020-08-03,,2.949,2.595,41.87,26.28
2020-08-04,,2.947,2.598,42.82,25.67
2020-08-05,,2.978,2.6,42.82,25.48
2020-08-06,,2.985,2.6,42.85,24.94
2020-08-07,2.064,2.987,2.603,42.01,26.39
2020-08-10,2.053,2.961,2.601,42.31,26.09
2020-08-11,2.064,2.979,2.6,42.27,25.58
2020-08-12,,2.977,2.601,42.89,25.07
2020-08-13,,2.959,2.601,42.81,24.6
2020-08-14,,2.944,2.601,43.04,23.76
2020-08-17,,2.953,2.602,43.84,22.8
2020-08-18,2.135,2.98,2.6,44.01,22.23
2020-08-19,,2.998,2.6,43.55,23.3
2020-08-20,,2.999,2.601,43.75,23.96
2020-08-21,,2.99,2.601,44.14,23.4
2020-08-24,,3,2.604,44.62,24.61
2020-08-25,2.183,3.052,2.606,44.8,23.95
2020-08-26,,3.051,2.612,44.72,25.18
2020-08-27,,3.063,2.621,44.63,25.76
2020-08-28,2.227,3.075,2.63,44.99,26.17
2020-08-31,2.233,3.024,2.636,43.96,27.4
2020-09-01,2.238,3.065,2.64,44.53,26.16
2020-09-02,,3.108,2.646,44.35,27.56
2020-09-03,,3.12,2.654,43.44,30.22
2020-09-04,,3.128,2.661,43.6,28.18
2020-09-07,,3.149,2.676,,
2020-09-08,,3.129,2.688,42.7,28.46
2020-09-09,,3.089,2.693,42.99,24.55
2020-09-10,,3.1,2.695,42.14,25.16
2020-09-11,2.34,3.148,2.697,42.55,24.39
2020-09-14,,3.153,2.697,42.84,23.68
2020-09-15,2.288,3.112,2.696,43.22,22.48
2020-09-16,,3.13,2.688,43.09,22.86
2020-09-17,,3.14,2.686,42.73,22.38
2020-09-18,,3.123,2.679,42.82,22.64
2020-09-21,2.317,3.099,2.673,42.42,24.45
2020-09-22,2.29,3.091,2.67,42.09,25.05
2020-09-23,,3.093,2.67,41.63,26.23
2020-09-24,,3.091,2.668,41.11,27.6
2020-09-25,,3.133,2.668,40.7,28.15
2020-09-28,,3.117,2.673,41.33,27.23
2020-09-29,,3.137,2.684,41.17,27.22
2020-09-30,,3.148,2.691,42,27.03
2020-10-01,,,,42.51,27.06
2020-10-02,,,,42.03,27.43
2020-10-05,,,,42.19,27.74
2020-10-06,,,,42.47,27.37
2020-10-07,,,,42.92,26.78
2020-10-08,,,,43.13,25.99
2020-10-09,,3.19,2.708,43.24,24.17
2020-10-12,,3.18,2.722,44.4,23.43
2020-10-13,2.272,3.193,2.734,44.34,23.72
2020-10-14,,3.22,2.757,43.78,24.22
2020-10-15,,3.228,2.774,43.45,24.04
2020-10-16,,3.217,2.786,44.11,24.42
